human_id,ST,host_source_raw,collection_year,country,country_base_label,country_harmonised,country_iso_alpha2,country_iso_alpha3,country_iso_numeric,country_harmonisation_status
SAMD00498318,ST307,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498324,ST8304,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498326,ST4857,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498332,ST896,Homo sapiens,2020,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498341,ST412,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498342,ST412,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498347,ST211,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498351,ST37,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498352,ST147,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498354,ST101,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498360,ST219,Homo sapiens,2020,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498367,ST896,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498369,ST101,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498374,ST219,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498382,ST7177,Homo sapiens,2020,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498385,ST66,Homo sapiens,2020,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498404,ST307,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498406,ST307,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498410,ST551,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498412,ST15,Homo sapiens,2020,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498418,ST219,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498424,ST101,Homo sapiens,2020,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498428,ST461,Homo sapiens,2020,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498431,ST461,Homo sapiens,2020,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498433,ST219,Homo sapiens,2020,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498434,ST1454,Homo sapiens,2020,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498449,ST374,Homo sapiens,2020,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498459,ST412,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498462,ST742,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498463,ST219,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498468,ST374,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498471,ST394,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498476,ST4459,Homo sapiens,2020,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498478,ST7178,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498480,ST869,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498486,ST1393,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498491,ST3172,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498493,ST3172,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498495,ST12,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498496,ST655,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498497,ST3172,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498498,ST12,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498499,ST12,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498500,ST3172,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498501,ST12,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498508,ST37,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498511,ST101,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498516,ST791,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498518,ST628,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498519,ST791,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498520,ST791,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498521,ST14,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498534,ST1203,Homo sapiens,2019,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498535,ST412,Homo sapiens,2020,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498542,ST307,Homo sapiens,2020,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498543,ST307,Homo sapiens,2020,Japan:Tokyo,Japan,Japan,JP,JPN,392,iso_3166_1
